prop_id	distinct_file_numbers	total_rows	file_numbers_sharing_id
22398	2	3	COM-RC-1982-86 | COM-RC-1982-86 | MLKN 3154
22776	2	4	CON-COM-RC-1982-78 | CON-COM-RC-1982-78 | CON-COM-2018-264 | CON-COM-RC-1982-78
23190	2	4	CON-COM-2001-23 | CON-COM-2001-23 | CON-COM-2001-23 | CON-COM-2009-54
23429	2	5	RES-1992-1394 | RES-1992-1394 | RES-1992-1394 | RES-1992-1394 | KNML 2164
23683	2	3	RES-1992-5274 | KNML 1361 | RES-1992-5274
23807	2	2	CON-COM-2014-76 | MLKN 1488
24059	2	3	RES-1982-1747 | RES-1982-1747 | KNML 1358
24142	2	4	RES-2007-3 | RES-2007-3 | RES-2007-3 | KNML 358
25067	2	2	COM-RC-1994-4 | COM-2014-31
25454	2	2	CON-COM-RC-1982-3 | MLKN 3194
27782	2	2	CON-AG-1998-20 | MLKN 1978
29234	2	2	IND-RC-1982-82 | MLKN 1988
29403	2	2	RES-RC-1982-440 | KNML 2836
32704	2	2	RES-1990-2421 | KNML 2802
33515	2	2	RES-1990-2179 | KNML 372
33739	2	3	RES-1990-1201 | RES-1990-1201 | KNML 457
35497	2	2	RES-2000-1136 | KNML 383
35630	2	2	KNML 385 | RES-2000-1677
35634	2	2	RES-2000-1672 | KNML 377
35638	2	2	RES-2000-1688 | KNML 378
36229	2	2	RES-2000-5399 | KNML 379
36662	2	2	RES-2001-3543 | KNML 375
38364	2	2	RES-1992-877 | KNML 355
39985	2	2	RES-1991-7928 | MLKN 3324
40400	2	2	RES-1994-2045 | KNML 1399
4353	2	2	COM-2022-401 | COM-1982-225
47338	2	2	RES-2018-4519 | TEMP-14333
5144	2	2	COM-1998-45 | COM-2009-152
55370	2	2	COM-1985-7 | MLKN 533
57167	2	2	RES-2026-1784 | TEMP-00711
57168	2	2	TEMP-00712 | RES-2026-1785
57364	2	2	TEMP-00908 | RES-2026-1637
57438	2	2	RES-2026-1618 | TEMP-00982
57464	2	2	TEMP-18224 | COM-2026-142
57718	2	2	TEMP-01250 | RES-2026-1786
57720	2	2	RES-2026-1888 | TEMP-16734
57805	2	2	IND-2026-20 | TEMP-35035
57825	2	2	RES-2026-1610 | TEMP-01355
57828	2	2	TEMP-01358 | RES-2026-1609
57890	2	2	TEMP-01420 | COM-2026-114
57922	2	2	TEMP-01452 | RES-2026-1566
58044	2	2	TEMP-18225 | COM-2026-161
58097	2	2	TEMP-01626 | RES-2026-1787
58098	2	2	RES-2026-1782 | TEMP-01627
58287	2	2	RES-2026-1632 | TEMP-04282
58359	2	2	COM-2026-151 | TEMP-18226
58456	2	2	COM-2026-155 | TEMP-18227
58462	2	2	COM-2026-138 | TEMP-18228
6004	2	2	TEMP-16013 | RES-2025-3197
6005	2	2	TEMP-16047 | RES-2025-4276
60467	2	2	RES-2013-79 | KNML 1400
61657	2	2	RES-2026-1588 | TEMP-05353
61667	2	2	RES-2026-1589 | TEMP-05366
61668	2	2	RES-2026-1590 | TEMP-05367
61669	2	2	TEMP-05368 | RES-2026-1591
61670	2	2	TEMP-05369 | IND-2026-8
61671	2	2	TEMP-05370 | RES-2026-1592
61672	2	2	TEMP-05371 | RES-2026-1593
62017	2	2	RES-2026-1611 | TEMP-05409
62020	2	2	TEMP-05410 | RES-2026-1612
62022	2	2	TEMP-05411 | RES-2026-1613
62025	2	2	TEMP-05412 | RES-2026-1614
6205	2	2	CON-COM-2013-155 | MLKN 2576
62052	2	2	TEMP-05418 | RES-2026-1615
62057	2	2	TEMP-05420 | RES-2026-1616
62060	2	2	RES-2026-1617 | TEMP-05422
62069	2	2	RES-2026-1619 | TEMP-05423
62073	2	2	TEMP-05427 | RES-2026-1620
62079	2	2	RES-2026-1621 | TEMP-05429
62083	2	2	RES-2026-1622 | TEMP-05431
62087	2	2	TEMP-05433 | RES-2026-1623
62089	2	2	TEMP-05435 | RES-2026-1624
62097	2	2	TEMP-05440 | RES-2026-1625
62100	2	2	RES-2026-1626 | TEMP-05443
62102	2	2	RES-2026-1627 | TEMP-05444
62104	2	2	TEMP-05445 | RES-2026-1628
62106	2	2	TEMP-05446 | RES-2026-1629
62107	2	2	TEMP-05447 | RES-2026-1630
6231	2	4	CON-COM-1999-69 | CON-COM-1999-69 | CON-COM-1999-69 | MLKN 2581
62597	2	2	TEMP-18229 | COM-2026-140
6272	2	5	MLKN 3178 | COM-2007-12 | COM-2007-12 | COM-2007-12 | COM-2007-12
62744	2	2	RES-2026-1631 | TEMP-05587
63004	2	2	TEMP-05635 | RES-2026-1633
63006	2	2	RES-2026-1634 | TEMP-05660
63008	2	2	RES-2026-1635 | TEMP-05662
63010	2	2	TEMP-05663 | RES-2026-1636
6310	2	3	COM-2000-356 | COM-2000-356 | MLKN 2450
6354	2	3	RES-1993-6629 | KNML 1364 | RES-1993-6629
63853	2	2	RES-2026-1639 | TEMP-05855
63854	2	2	TEMP-05857 | RES-2026-1640
63873	2	3	RES-2024-3798 | TEMP-05214 | RES-2024-3798
64124	2	3	RES-2024-3799 | TEMP-05983 | RES-2024-3799
64718	2	3	RES-2024-2293 | TEMP-05873 | RES-2024-2293
6475	2	3	MLKN 2930 | CON-COM-1989-17 | CON-COM-1989-17
6626	2	2	RES-1993-3745 | KNML 380_2
6645	2	3	CON-COM-1982-110 | MLKN 1954 | CON-COM-1982-110
67254	2	2	TEMP-08675 | RES-2026-1764
67255	2	3	RES-2026-1763 | TEMP-08676 | RES-2026-1763
67424	2	2	TEMP-08845 | RES-2026-1872
67445	2	2	TEMP-08866 | RES-2026-1875
67446	2	2	TEMP-08867 | RES-2026-1735
67447	2	2	RES-2026-1734 | TEMP-08868
67448	2	2	TEMP-08869 | RES-2026-1736
67457	2	2	TEMP-08878 | RES-2026-2037
67534	2	2	TEMP-08955 | RES-2026-1808
67778	2	2	TEMP-09199 | RES-2026-1792
6784	2	2	CON-COM-2017-243 | MLKN 1990
68410	2	2	RES-2026-1846 | TEMP-09831
68414	2	2	TEMP-09835 | RES-2026-1870
68719	2	2	RES-2026-2045 | TEMP-10140
6874	2	2	MLKN 2588 | COM-2016-267
68808	2	2	TEMP-10229 | RES-2026-1796
68902	2	2	TEMP-10323 | RES-2026-2063
68903	2	2	RES-2026-2062 | TEMP-10324
68904	2	2	TEMP-10325 | RES-2026-2064
68905	2	2	TEMP-10326 | RES-2026-2065
68923	2	2	RES-2026-1670 | TEMP-10344
68935	2	2	TEMP-10356 | RES-2026-1806
68981	2	2	TEMP-10402 | RES-2026-1752
6909	2	3	RES-2002-4770 | RES-2002-4770 | KNML 470
6910	2	2	RES-2012-3298 | KNML 374
69103	2	2	TEMP-10524 | RES-2026-1720
69104	2	2	RES-2026-1722 | TEMP-10525
69106	2	2	TEMP-10527 | RES-2026-1716
69108	2	2	TEMP-10529 | RES-2026-1723
69117	2	2	TEMP-10538 | RES-2026-1717
69119	2	2	TEMP-10540 | RES-2026-1726
69139	2	2	TEMP-10560 | RES-2026-1718
69142	2	2	TEMP-10563 | RES-2026-1721
69144	2	2	TEMP-10565 | RES-2026-1725
6917	2	3	RES-2000-1666 | RES-2000-1666 | KNML 373
69391	2	2	TEMP-10812 | RES-2026-1857
69566	2	2	TEMP-10987 | RES-2026-1832
69568	2	2	TEMP-10989 | RES-2026-1715
69570	2	2	RES-2026-1840 | TEMP-10991
69572	2	2	TEMP-10993 | RES-2026-1714
69572012	2	2	RES-2026-1975 | TEMP-35038
69572020	2	2	TEMP-35036 | COM-2026-193
69573	2	2	RES-2026-1833 | TEMP-10994
69573718	2	2	CON-COM-2010-32 | CON-RES-2010-143
69574	2	2	RES-2026-1686 | TEMP-10995
69574011	2	2	RES-2026-1935 | TEMP-19231
69574032	2	2	TEMP-19236 | RES-2026-1936
69574037	2	2	TEMP-19238 | RES-2026-1937
69574205	2	2	KNML 1368_2 | KNML 1368_1
69574386	2	2	KNML 1366_1 | KNML 1366
69574402	2	2	TEMP-19420 | RES-2026-1938
69574858	2	2	TEMP-19240 | RES-2026-1939
69575	2	2	TEMP-10996 | RES-2026-1701
69575030	2	2	TEMP-35031 | IND-2026-18
69575416	2	2	RES-2026-1940 | TEMP-19926
69575988	2	2	TEMP-30095 | RES-2026-1941
69576040	2	2	RES-2026-1943 | TEMP-30121
69576448	2	2	RES-2026-1946 | TEMP-19939
69576489	2	2	TEMP-30339 | RES-2026-1947
69576602	2	2	TEMP-30377 | RES-2026-1950
69576806	2	2	RES-2026-1958 | TEMP-30527
69577	2	2	TEMP-10998 | RES-2026-1700
69577644	2	2	TEMP-33761 | IND-2026-17
69577689	2	2	TEMP-30787 | RES-2026-1972
69577698	2	2	TEMP-30978 | RES-2026-1973
69578111	2	2	IND-2026-19 | TEMP-35032
69578266	2	2	RES-2024-1696 | RES-2022-5124
69579	2	2	TEMP-11000 | RES-2026-1687
69580	2	2	TEMP-11001 | RES-2026-1732
69580277	2	2	RES-2026-2041 | TEMP-32276
69580280	2	2	CON-COM-2026-227 | CON-AG-2020-140
69580420	2	2	CON-COM-2014-249 | CON-COM-2014-248
69580806	2	2	TEMP-32580 | RES-2026-2046
69581	2	2	RES-2026-1731 | TEMP-11002
69581060	2	2	TEMP-32764 | RES-2026-2066
69581517	2	2	TEMP-32944 | RES-2026-2051
69581529	2	2	RES-2026-2052 | TEMP-32997
69581555	2	2	RES-2026-2054 | TEMP-33014
69581558	2	2	TEMP-33017 | RES-2026-2055
69581908	2	2	RES-2026-2059 | TEMP-33223
69582	2	2	TEMP-11003 | RES-2026-1729
69582164	2	2	TEMP-33257 | RES-2026-2067
69582174	2	2	RES-2026-2068 | TEMP-33361
69582184	2	2	RES-2026-2069 | TEMP-33366
69582195	2	2	TEMP-33373 | RES-2026-2070
69582840	2	2	TEMP-33707 | RES-2026-2073
69582877	2	2	TEMP-33726 | RES-2026-2077
69582984	2	2	TEMP-33760 | RES-2026-2083
69583	2	2	RES-2026-1733 | TEMP-11004
69583361	2	2	RES-2026-2086 | TEMP-33991
69584	2	2	TEMP-11005 | RES-2026-1730
69584175	2	2	TEMP-34758 | RES-2026-2089
69584361	2	2	TEMP-35067 | RES-2026-2091
69584367	2	2	RES-2026-2092 | TEMP-35074
69584371	2	2	TEMP-35082 | RES-2026-2093
69584518	2	2	RES-2026-3549 | RES-2023-698
69584541	2	2	RES-2023-5996 | TEMP-35258
69584577	2	2	TEMP-35308 | RES-2023-809
69587	2	2	TEMP-11008 | RES-2026-1834
69665	2	2	TEMP-11086 | RES-2026-1682
69666	2	2	RES-2026-1871 | TEMP-11087
69667	2	2	TEMP-11088 | RES-2026-1873
69669	2	2	TEMP-11090 | RES-2026-1867
69670	2	2	RES-2026-1835 | TEMP-11091
6974	2	2	RES-2009-1876 | KNML 486
6994	2	2	CON-COM-2011-90 | MLKN 1570
69973	2	2	TEMP-11394 | RES-2026-1692
6998	2	2	MLKN 2553 | CON-COM-2014-41
70292	2	2	COM-2026-143 | TEMP-18230
70350	2	2	TEMP-18231 | COM-2026-141
7041	2	2	COM-2001-610 | MLKN 1573
70495	2	2	IND-2026-21 | TEMP-35034
71182	2	2	RES-2025-3176 | TEMP-06151
71532	2	2	CON-COM-2010-270 | MLKN 1953
71682	2	2	RES-2026-1669 | TEMP-11670
71775	2	2	TEMP-11698 | RES-2026-1671
7225	2	3	CON-COM-2011-112 | CON-COM-2011-112 | MLKN 1975
72476	2	2	RES-2026-1672 | TEMP-11893
72520	2	2	RES-2026-1674 | TEMP-11906
72548	2	2	TEMP-11915 | RES-2026-1675
72601	2	2	RES-2026-1676 | TEMP-11924
72604	2	2	COM-2026-145 | TEMP-11927
72611	2	2	COM-2026-146 | TEMP-11930
72631	2	2	TEMP-11931 | RES-2026-1677
7279	2	2	COM-2016-395 | MLKN 1982
72863	2	2	RES-2026-1678 | TEMP-12007
72871	2	2	TEMP-06180 | RES-2026-1668
72966	2	2	TEMP-12024 | RES-2026-1680
73006	2	2	TEMP-12062 | RES-2026-1681
73481	2	2	TEMP-05384 | RES-2026-1684
73490	2	2	RES-2026-1683 | TEMP-12150
73491	2	2	RES-2026-1685 | TEMP-12152
73748	2	2	TEMP-12204 | RES-2026-1689
73958	2	2	COM-2018-288 | MLKN 2586
74027	2	2	TEMP-12189 | COM-2026-121
74060	2	2	RES-2026-1695 | TEMP-12320
74069	2	2	CON-COM-2019-31 | KNGP 2572
74136	2	2	COM-2015-483 | MLKN 2566
74895	2	2	TEMP-12728 | RES-2026-1805
74918	2	2	TEMP-12465 | RES-2026-1702
74931	2	2	RES-2026-1703 | TEMP-12748
74947	2	2	RES-2026-1705 | TEMP-12753
74961	2	2	RES-2026-1706 | TEMP-12763
75379	2	2	COM-2008-120 | IND-1995-6
75388	2	2	RES-2026-1719 | TEMP-12914
7549	2	2	COM-2007-123 | MLKN 1465
7552	2	3	COM-1995-147 | COM-1995-147 | MLKN 2565
75550	2	2	TEMP-12915 | RES-2026-1724
75551	2	2	TEMP-12919 | RES-2026-1727
75552	2	2	TEMP-12920 | RES-2026-1728
7627	2	3	KNML 1396 | RES-1995-2726 | RES-1995-2726
76423	2	2	RES-2026-1740 | TEMP-12921
76442	2	2	TEMP-13201 | RES-2026-1741
