session_id	blocking_session_id	status	wait_type	wait_seconds	db_name	running_sql	login_name	host_name	program_name
101	119	suspended	LCK_M_SCH_S	188.363000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
105	119	suspended	LCK_M_IS	188.306000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
59	119	suspended	LCK_M_IS	185.510000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
151	119	suspended	LCK_M_SCH_S	184.642000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
123	119	suspended	LCK_M_IS	184.378000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
117	119	suspended	LCK_M_IS	184.074000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
120	119	suspended	LCK_M_IS	181.210000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
104	119	suspended	LCK_M_IS	175.583000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
149	119	suspended	LCK_M_SCH_S	112.289000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
56	97	suspended	LCK_M_IS	530.855000	klas	(@P1 nvarchar(4000))select count(*) as aggregate from [file_indexings] where [id] = @P1	klaesDb	DC-02	Apache HTTP Server
53	97	suspended	LCK_M_IX	530.541000	klas	(@P1 int,@P2 nvarchar(4000),@P3 nvarchar(4000))update [file_indexings] set [is_updated] = @P1, [file_indexings].[updated_at] = @P2 where [id] = @P3	klaesDb	DC-02	Apache HTTP Server
67	97	suspended	LCK_M_SCH_S	481.038000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
112	97	suspended	LCK_M_SCH_S	474.905000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
145	97	suspended	LCK_M_IS	474.839000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
139	97	suspended	LCK_M_IS	466.374000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
152	97	suspended	LCK_M_IS	466.002000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
76	97	suspended	LCK_M_IS	465.970000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
57	97	suspended	LCK_M_IS	465.968000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
136	97	suspended	LCK_M_IS	463.174000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
71	97	suspended	LCK_M_IS	436.359000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
66	97	suspended	LCK_M_SCH_S	390.619000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
99	97	suspended	LCK_M_IS	381.714000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
172	97	suspended	LCK_M_IS	180.991000	klas	select count(*) as aggregate from [file_indexings] where exists (select * from [scannings] where [file_indexings].[id] = [scannings].[file_indexing_id]) and not exists (select * from [pagetypings] where [file_indexings].[id] = [pagetypings].[file_indexing_id])	klaesDb	DC-02	Apache HTTP Server
182	97	suspended	LCK_M_IS	179.263000	klas	select count(*) as aggregate from [file_indexings] where exists (select * from [scannings] where [file_indexings].[id] = [scannings].[file_indexing_id]) and not exists (select * from [pagetypings] where [file_indexings].[id] = [pagetypings].[file_indexing_id])	klaesDb	DC-02	Apache HTTP Server
181	97	suspended	LCK_M_IS	164.086000	klas	(@P1 int,@P2 nvarchar(4000),@P3 nvarchar(4000))select top 20 [id], [file_number], [file_title], [land_use_type], [district] from [file_indexings] where ([is_deleted] = @P1 or [is_deleted] is null) and [file_number] is not null and [file_number] <> @P2 and [file_number] LIKE @P3 order by [id] desc	klaesDb	DC-02	Apache HTTP Server
114	97	suspended	LCK_M_IS	161.696000	klas	select count(*) as aggregate from [file_indexings] where exists (select * from [scannings] where [file_indexings].[id] = [scannings].[file_indexing_id]) and not exists (select * from [pagetypings] where [file_indexings].[id] = [pagetypings].[file_indexing_id])	klaesDb	DC-02	Apache HTTP Server
96	69	suspended	LCK_M_SCH_S	112.037000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
133	69	suspended	LCK_M_IS	111.228000	klas	select count(*) as aggregate from [file_indexings] where exists (select * from [scannings] where [file_indexings].[id] = [scannings].[file_indexing_id]) and not exists (select * from [pagetypings] where [file_indexings].[id] = [pagetypings].[file_indexing_id])	klaesDb	DC-02	Apache HTTP Server
55	69	suspended	LCK_M_SCH_S	109.746000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
52	69	suspended	LCK_M_SCH_S	107.109000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
90	69	suspended	LCK_M_SCH_S	105.581000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
54	69	suspended	LCK_M_SCH_S	105.045000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
138	69	suspended	LCK_M_SCH_S	103.597000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
81	69	suspended	LCK_M_IS	82.095000	klas	(@P1 int,@P2 nvarchar(4000),@P3 nvarchar(4000))select top 20 [id], [file_number], [file_title], [land_use_type], [district] from [file_indexings] where ([is_deleted] = @P1 or [is_deleted] is null) and [file_number] is not null and [file_number] <> @P2 and [file_number] LIKE @P3 order by [id] desc	klaesDb	DC-02	Apache HTTP Server
118	69	suspended	LCK_M_SCH_S	12.557000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
86	69	suspended	LCK_M_SCH_S	11.745000	klas	select name from sys.columns where object_id = object_id('file_indexings')	klaesDb	DC-02	Apache HTTP Server
92	69	suspended	LCK_M_IS	11.342000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
155	58	suspended	LCK_M_SCH_M	11.377000	klas	ALTER INDEX [IX_file_indexings_file_number] ON [file_indexings] REBUILD	klaes\Administrator	DC-01	Microsoft SQL Server Management Studio - Query
188	0	suspended	PAGEIOLATCH_EX	0.002000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) > 0 AND COUNT(DISTINCT p.[id]) < COUNT(DISTINCT s.[id])             ) t	klaesDb	DC-02	Apache HTTP Server
190	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) > 0 AND COUNT(DISTINCT p.[id]) < COUNT(DISTINCT s.[id])             ) t	klaesDb	DC-02	Apache HTTP Server
191	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) > 0 AND COUNT(DISTINCT p.[id]) < COUNT(DISTINCT s.[id])             ) t	klaesDb	DC-02	Apache HTTP Server
192	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) > 0 AND COUNT(DISTINCT p.[id]) < COUNT(DISTINCT s.[id])             ) t	klaesDb	DC-02	Apache HTTP Server
183	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
184	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
174	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) > 0 AND COUNT(DISTINCT p.[id]) < COUNT(DISTINCT s.[id])             ) t	klaesDb	DC-02	Apache HTTP Server
175	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) > 0 AND COUNT(DISTINCT p.[id]) < COUNT(DISTINCT s.[id])             ) t	klaesDb	DC-02	Apache HTTP Server
176	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) > 0 AND COUNT(DISTINCT p.[id]) < COUNT(DISTINCT s.[id])             ) t	klaesDb	DC-02	Apache HTTP Server
179	0	runnable	NULL	0.000000	master	SELECT dtb.name AS [Name], CAST(0 AS bit) AS [IsFabricDatabase], dtb.database_id AS [ID], CAST(has_dbaccess(dtb.name) AS bit) AS [IsAccessible] FROM master.sys.databases AS dtb ORDER BY [Name] ASC	klaes\Administrator	DC-01	Microsoft SQL Server Management Studio - Transact-SQL IntelliSense
180	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
160	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) >= COUNT(DISTINCT s.[id]) AND COUNT(DISTINCT s.[id]) > 0             ) t	klaesDb	DC-02	Apache HTTP Server
146	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) > 0 AND COUNT(DISTINCT p.[id]) < COUNT(DISTINCT s.[id])             ) t	klaesDb	DC-02	Apache HTTP Server
150	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) > 0 AND COUNT(DISTINCT p.[id]) < COUNT(DISTINCT s.[id])             ) t	klaesDb	DC-02	Apache HTTP Server
93	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) > 0 AND COUNT(DISTINCT p.[id]) < COUNT(DISTINCT s.[id])             ) t	klaesDb	DC-02	Apache HTTP Server
94	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) > 0 AND COUNT(DISTINCT p.[id]) < COUNT(DISTINCT s.[id])             ) t	klaesDb	DC-02	Apache HTTP Server
91	0	runnable	NULL	0.000000	klas	SELECT COUNT(*) as cnt FROM (                 SELECT f.[id]                 FROM [file_indexings] f                 INNER JOIN [scannings] s ON f.[id] = s.[file_indexing_id]                 INNER JOIN [pagetypings] p ON f.[id] = p.[file_indexing_id]                                  GROUP BY f.[id]                 HAVING COUNT(DISTINCT p.[id]) > 0 AND COUNT(DISTINCT p.[id]) < COUNT(DISTINCT s.[id])             ) t	klaesDb	DC-02	Apache HTTP Server
